"filename", "language", "HTML", "CSS", "JavaScript", "JSON", "Firebase Rules", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\owl.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\owndefault.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 5, 1, 7
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\blog\style.css", "CSS", 0, 683, 0, 0, 0, 0, 0, 33, 162, 878
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\all css\bootstrap.min.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 6, 3, 13
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\all css\mdb-pro.min.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 27, 0, 33
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\all css\mdb.ecommerce.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 9, 2, 12
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\cart.html", "HTML", 206, 0, 0, 0, 0, 0, 0, 117, 50, 373
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\cart.js", "JavaScript", 0, 0, 236, 0, 0, 0, 0, 28, 63, 327
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\product js\js\bootstrap.js", "JavaScript", 0, 0, 3347, 0, 0, 0, 0, 325, 850, 4522
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\product js\js\mdb.ecommerce.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\product js\js\mdb.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\product js\js\popper.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\cart\style.css", "CSS", 0, 159, 0, 0, 0, 0, 0, 7, 34, 200
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\characters.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\contact us\contact.css", "CSS", 0, 405, 0, 0, 0, 0, 0, 38, 78, 521
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\contact us\contact.html", "HTML", 216, 0, 0, 0, 0, 0, 0, 78, 74, 368
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\css\flickity.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\css\w3.css", "CSS", 0, 231, 0, 0, 0, 0, 0, 4, 0, 235
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\246FNqIC6nryIVGeLIvd.html", "HTML", 542, 0, 0, 0, 0, 0, 0, 194, 127, 863
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\9P84VdB4lxgwMXXPLiVr.html", "HTML", 566, 0, 0, 0, 0, 0, 0, 136, 127, 829
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\B1iMGCRSJy7tzdBWiewj.html", "HTML", 676, 0, 0, 0, 0, 0, 0, 145, 142, 963
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\FLRcw25DSxifwqGDSHVe.html", "HTML", 415, 0, 0, 0, 0, 0, 0, 56, 3, 474
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\GQbklfOI0xHGM1JlseyO.html", "HTML", 473, 0, 0, 0, 0, 0, 0, 74, 3, 550
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\H6JNVtOaDlZV1C8AnOJH.html", "HTML", 417, 0, 0, 0, 0, 0, 0, 56, 3, 476
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\H8WXGSfM9xytaSZORxq9.html", "HTML", 417, 0, 0, 0, 0, 0, 0, 56, 3, 476
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\LRTWr4RVHTo6FIxfy91M.html", "HTML", 473, 0, 0, 0, 0, 0, 0, 74, 3, 550
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\LehVdQAZNcxuKE8KV9nC.html", "HTML", 679, 0, 0, 0, 0, 0, 0, 145, 144, 968
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\Mj4dcF3U7mvNeO3Sv6S7.html", "HTML", 725, 0, 0, 0, 0, 0, 0, 151, 136, 1012
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\NKvcDapiemsb2UhT5rQy.html", "HTML", 481, 0, 0, 0, 0, 0, 0, 65, 3, 549
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\QpraZU0K417VvLQRGumo.html", "HTML", 483, 0, 0, 0, 0, 0, 0, 65, 3, 551
