"filename", "language", "JavaScript", "HTML", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\index.html", "HTML", 0, 990, 0, 0, 0, 211, 98, 1299
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item1.html", "HTML", 0, 226, 0, 0, 0, 4, 20, 250
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item10.html", "HTML", 0, 246, 0, 0, 0, 2, 22, 270
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item11.html", "HTML", 0, 235, 0, 0, 0, 3, 21, 259
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item12.html", "HTML", 0, 228, 0, 0, 0, 3, 21, 252
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item2.html", "HTML", 0, 223, 0, 0, 0, 3, 20, 246
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item3.html", "HTML", 0, 205, 0, 0, 0, 17, 21, 243
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item4.html", "HTML", 0, 231, 0, 0, 0, 3, 20, 254
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item5.html", "HTML", 0, 237, 0, 0, 0, 3, 21, 261
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item6.html", "HTML", 0, 239, 0, 0, 0, 3, 20, 262
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item7.html", "HTML", 0, 241, 0, 0, 0, 3, 20, 264
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item8.html", "HTML", 0, 242, 0, 0, 0, 3, 20, 265
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\item9.html", "HTML", 0, 241, 0, 0, 0, 2, 20, 263
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\itemL1.html", "HTML", 0, 267, 0, 0, 0, 3, 24, 294
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\itemL2.html", "HTML", 0, 271, 0, 0, 0, 3, 25, 299
